reading_id,timestamp,sensor_id,location,grid_x,grid_y,temperature_c,humidity_pct,co2_ppm,noise_db,occupancy
18,2024-03-01 00:00:00,SENSOR-018,Lobby - Reception,0.485,0.934,21.5,51.3,562.0,64.5,0
19,2024-03-01 00:00:00,SENSOR-019,Carpark - B1,-0.947,2.045,20.4,40.4,601.0,38.4,1
20,2024-03-01 00:00:00,SENSOR-020,Carpark - B2,-1.999,2.011,17.0,49.6,324.0,43.7,1
21,2024-03-02 00:00:00,SENSOR-001,Floor 1 - Zone A,0.995,0.999,22.2,60.6,530.0,47.9,1
22,2024-03-02 00:00:00,SENSOR-002,Floor 1 - Zone B,0.953,1.961,22.8,49.6,479.0,28.3,0
23,2024-03-02 00:00:00,SENSOR-003,Floor 1 - Zone C,1.027,3.007,20.9,59.1,437.0,37.9,1
24,2024-03-02 00:00:00,SENSOR-004,Floor 2 - Zone A,1.96,1.008,22.5,55.3,384.0,47.0,1
25,2024-03-02 00:00:00,SENSOR-005,Floor 2 - Zone B,2.037,2.01,20.8,46.6,506.0,64.8,1
26,2024-03-02 00:00:00,SENSOR-006,Floor 2 - Zone C,1.99,2.989,21.6,41.8,197.0,27.6,0
27,2024-03-02 00:00:00,SENSOR-007,Floor 3 - Zone A,2.931,1.124,20.4,46.3,605.0,31.1,1
28,2024-03-02 00:00:00,SENSOR-008,Floor 3 - Zone B,2.979,2.01,22.0,50.3,500.0,19.4,1
29,2024-03-02 00:00:00,SENSOR-009,Floor 3 - Zone C,2.919,2.959,22.6,59.5,589.0,23.5,1
30,2024-03-02 00:00:00,SENSOR-010,Floor 4 - Zone A,4.06,1.074,20.5,63.6,445.0,28.9,0
31,2024-03-02 00:00:00,SENSOR-011,Floor 4 - Zone B,4.023,1.98,21.9,59.6,457.0,52.2,0
32,2024-03-02 00:00:00,SENSOR-012,Floor 4 - Zone C,4.008,2.981,24.4,54.8,270.0,45.8,1
33,2024-03-02 00:00:00,SENSOR-013,Rooftop - North,4.989,1.528,24.6,53.5,360.0,44.9,0
34,2024-03-02 00:00:00,SENSOR-014,Rooftop - South,4.926,2.469,25.8,59.8,492.0,46.9,1
35,2024-03-02 00:00:00,SENSOR-015,Basement - Main,-0.019,1.98,18.6,54.6,514.0,49.6,1
36,2024-03-02 00:00:00,SENSOR-016,Basement - Storage,0.05,0.939,21.0,77.9,444.0,38.0,1
37,2024-03-02 00:00:00,SENSOR-017,Lobby - Entrance,0.459,1.902,22.6,54.4,316.0,43.2,1
38,2024-03-02 00:00:00,SENSOR-018,Lobby - Reception,0.446,0.941,20.5,47.4,546.0,50.1,1
39,2024-03-02 00:00:00,SENSOR-019,Carpark - B1,-1.051,2.026,23.9,42.0,495.0,27.3,1
40,2024-03-02 00:00:00,SENSOR-020,Carpark - B2,-1.902,2.016,18.3,61.0,315.0,44.3,1
41,2024-03-03 00:00:00,SENSOR-001,Floor 1 - Zone A,0.95,0.996,22.4,58.5,431.0,35.2,1
42,2024-03-03 00:00:00,SENSOR-002,Floor 1 - Zone B,0.952,2.043,22.6,46.2,427.0,22.1,0
43,2024-03-03 00:00:00,SENSOR-003,Floor 1 - Zone C,0.982,2.994,20.2,44.5,339.0,35.1,1
44,2024-03-03 00:00:00,SENSOR-004,Floor 2 - Zone A,2.016,1.067,20.7,64.4,441.0,34.0,1
45,2024-03-03 00:00:00,SENSOR-005,Floor 2 - Zone B,2.001,2.027,23.8,51.6,360.0,36.8,0
46,2024-03-03 00:00:00,SENSOR-006,Floor 2 - Zone C,2.003,3.028,22.0,62.7,341.0,42.9,0
47,2024-03-03 00:00:00,SENSOR-007,Floor 3 - Zone A,2.948,1.023,22.0,67.7,480.0,45.9,1
48,2024-03-03 00:00:00,SENSOR-008,Floor 3 - Zone B,2.984,2.108,21.1,50.7,431.0,46.1,1
49,2024-03-03 00:00:00,SENSOR-009,Floor 3 - Zone C,3.057,2.931,20.5,56.6,437.0,64.1,1
50,2024-03-03 00:00:00,SENSOR-010,Floor 4 - Zone A,3.985,0.907,22.9,60.6,372.0,54.1,1
51,2024-03-03 00:00:00,SENSOR-011,Floor 4 - Zone B,4.018,1.874,23.8,55.0,374.0,33.5,1
52,2024-03-03 00:00:00,SENSOR-012,Floor 4 - Zone C,4.006,2.991,21.7,44.4,358.0,33.8,1
53,2024-03-03 00:00:00,SENSOR-013,Rooftop - North,4.993,1.558,23.7,57.8,500.0,40.7,0
54,2024-03-03 00:00:00,SENSOR-014,Rooftop - South,4.969,2.425,24.2,51.0,428.0,33.2,0
55,2024-03-03 00:00:00,SENSOR-015,Basement - Main,0.054,2.086,19.7,52.8,442.0,29.3,1
56,2024-03-03 00:00:00,SENSOR-016,Basement - Storage,0.017,1.003,18.4,48.2,479.0,42.3,1
57,2024-03-03 00:00:00,SENSOR-017,Lobby - Entrance,0.496,2.003,23.7,59.0,516.0,53.8,1
58,2024-03-03 00:00:00,SENSOR-018,Lobby - Reception,0.502,1.012,24.1,64.1,618.0,51.8,1
59,2024-03-03 00:00:00,SENSOR-019,Carpark - B1,-1.068,2.02,20.8,48.8,464.0,42.4,0
60,2024-03-03 00:00:00,SENSOR-020,Carpark - B2,-1.959,2.018,20.3,44.3,621.0,22.2,0
61,2024-03-04 00:00:00,SENSOR-001,Floor 1 - Zone A,0.966,1.029,21.3,50.1,447.0,45.9,1
62,2024-03-04 00:00:00,SENSOR-002,Floor 1 - Zone B,1.022,1.984,21.4,53.6,343.0,31.9,1
63,2024-03-04 00:00:00,SENSOR-003,Floor 1 - Zone C,1.06,3.025,22.4,36.4,445.0,46.9,1
64,2024-03-04 00:00:00,SENSOR-004,Floor 2 - Zone A,1.975,1.024,23.7,55.5,441.0,33.2,1
65,2024-03-04 00:00:00,SENSOR-005,Floor 2 - Zone B,2.043,2.036,22.9,54.7,475.0,56.5,1
66,2024-03-04 00:00:00,SENSOR-006,Floor 2 - Zone C,1.942,2.998,21.8,53.6,566.0,52.9,1
67,2024-03-04 00:00:00,SENSOR-007,Floor 3 - Zone A,2.996,0.892,22.1,46.2,511.0,31.0,1
68,2024-03-04 00:00:00,SENSOR-008,Floor 3 - Zone B,3.048,2.02,23.8,51.4,519.0,45.0,1
69,2024-03-04 00:00:00,SENSOR-009,Floor 3 - Zone C,2.98,2.983,22.6,59.8,299.0,23.5,1
70,2024-03-04 00:00:00,SENSOR-010,Floor 4 - Zone A,4.061,0.978,21.9,49.0,283.0,31.3,1
71,2024-03-04 00:00:00,SENSOR-011,Floor 4 - Zone B,4.018,2.015,20.6,50.6,409.0,51.8,0
72,2024-03-04 00:00:00,SENSOR-012,Floor 4 - Zone C,3.958,2.945,22.6,54.2,416.0,56.5,0
73,2024-03-04 00:00:00,SENSOR-013,Rooftop - North,4.97,1.453,24.5,52.6,448.0,40.1,1
74,2024-03-04 00:00:00,SENSOR-014,Rooftop - South,5.003,2.472,24.6,59.2,499.0,42.2,1
75,2024-03-04 00:00:00,SENSOR-015,Basement - Main,-0.037,1.99,18.9,55.6,507.0,60.4,0
76,2024-03-04 00:00:00,SENSOR-016,Basement - Storage,0.027,0.937,20.4,55.3,522.0,46.1,1
77,2024-03-04 00:00:00,SENSOR-017,Lobby - Entrance,0.435,1.995,22.0,52.2,426.0,46.7,0
78,2024-03-04 00:00:00,SENSOR-018,Lobby - Reception,0.519,0.976,21.6,54.6,434.0,29.8,0
79,2024-03-04 00:00:00,SENSOR-019,Carpark - B1,-1.009,1.951,18.2,62.3,318.0,50.8,1
80,2024-03-04 00:00:00,SENSOR-020,Carpark - B2,-2.067,1.97,19.7,48.3,314.0,43.0,1
81,2024-03-05 00:00:00,SENSOR-001,Floor 1 - Zone A,1.031,0.947,22.6,59.6,390.0,59.4,0
82,2024-03-05 00:00:00,SENSOR-002,Floor 1 - Zone B,0.925,2.022,21.7,45.0,446.0,40.9,1
83,2024-03-05 00:00:00,SENSOR-003,Floor 1 - Zone C,1.057,2.971,22.7,50.9,393.0,42.9,1
84,2024-03-05 00:00:00,SENSOR-004,Floor 2 - Zone A,2.055,0.98,21.7,46.6,354.0,51.9,1
85,2024-03-05 00:00:00,SENSOR-005,Floor 2 - Zone B,2.049,2.005,23.3,40.9,437.0,17.7,1
86,2024-03-05 00:00:00,SENSOR-006,Floor 2 - Zone C,2.01,2.995,21.7,51.1,509.0,39.3,1
87,2024-03-05 00:00:00,SENSOR-007,Floor 3 - Zone A,3.072,0.989,22.7,58.5,484.0,63.0,1
88,2024-03-05 00:00:00,SENSOR-008,Floor 3 - Zone B,2.956,1.953,21.6,53.4,423.0,39.3,0
89,2024-03-05 00:00:00,SENSOR-009,Floor 3 - Zone C,2.973,2.918,23.0,49.4,378.0,31.5,1
90,2024-03-05 00:00:00,SENSOR-010,Floor 4 - Zone A,3.982,1.02,24.0,44.3,279.0,43.8,0
91,2024-03-05 00:00:00,SENSOR-011,Floor 4 - Zone B,4.007,2.042,22.7,59.8,541.0,47.5,1
92,2024-03-05 00:00:00,SENSOR-012,Floor 4 - Zone C,3.983,2.915,23.9,56.6,547.0,16.4,0
93,2024-03-05 00:00:00,SENSOR-013,Rooftop - North,4.985,1.456,25.3,59.0,456.0,28.8,0
94,2024-03-05 00:00:00,SENSOR-014,Rooftop - South,4.854,2.499,26.3,47.5,,54.8,1
95,2024-03-05 00:00:00,SENSOR-015,Basement - Main,-0.087,2.063,19.3,59.0,628.0,46.7,1
96,2024-03-05 00:00:00,SENSOR-016,Basement - Storage,-0.021,1.003,19.6,48.3,444.0,31.8,0
97,2024-03-05 00:00:00,SENSOR-017,Lobby - Entrance,0.465,2.007,21.1,49.7,473.0,57.3,1
98,2024-03-05 00:00:00,SENSOR-018,Lobby - Reception,0.491,0.954,21.1,57.0,508.0,49.3,1
99,2024-03-05 00:00:00,SENSOR-019,Carpark - B1,-1.025,2.079,16.6,65.6,278.0,45.2,0
100,2024-03-05 00:00:00,SENSOR-020,Carpark - B2,-1.917,2.033,21.5,56.2,471.0,52.6,1
101,2024-03-06 00:00:00,SENSOR-001,Floor 1 - Zone A,0.994,1.02,20.1,50.2,9999.0,34.0,0
102,2024-03-06 00:00:00,SENSOR-002,Floor 1 - Zone B,1.055,1.914,21.4,55.8,395.0,38.5,1
103,2024-03-06 00:00:00,SENSOR-003,Floor 1 - Zone C,0.988,3.062,21.5,70.1,326.0,23.8,1
104,2024-03-06 00:00:00,SENSOR-004,Floor 2 - Zone A,1.941,1.104,20.9,65.9,347.0,47.1,1
105,2024-03-06 00:00:00,SENSOR-005,Floor 2 - Zone B,1.97,1.915,20.4,59.5,464.0,50.9,1
106,2024-03-06 00:00:00,SENSOR-006,Floor 2 - Zone C,2.038,3.072,21.6,63.2,428.0,62.4,1
107,2024-03-06 00:00:00,SENSOR-007,Floor 3 - Zone A,3.001,1.053,,60.7,538.0,44.2,1
108,2024-03-06 00:00:00,SENSOR-008,Floor 3 - Zone B,3.123,2.005,20.2,56.1,550.0,48.5,1
109,2024-03-06 00:00:00,SENSOR-009,Floor 3 - Zone C,2.988,3.033,20.9,63.7,443.0,54.2,1
110,2024-03-06 00:00:00,SENSOR-010,Floor 4 - Zone A,3.889,0.936,24.7,59.5,372.0,51.5,0
111,2024-03-06 00:00:00,SENSOR-011,Floor 4 - Zone B,4.071,1.984,24.1,44.6,570.0,65.4,1
112,2024-03-06 00:00:00,SENSOR-012,Floor 4 - Zone C,4.071,3.015,22.1,53.9,533.0,34.9,0
113,2024-03-06 00:00:00,SENSOR-013,Rooftop - North,4.98,1.482,27.6,59.1,469.0,49.7,1
114,2024-03-06 00:00:00,SENSOR-014,Rooftop - South,4.937,2.458,25.0,51.9,480.0,44.0,1
115,2024-03-06 00:00:00,SENSOR-015,Basement - Main,-0.056,2.008,19.9,64.1,373.0,25.7,1
116,2024-03-06 00:00:00,SENSOR-016,Basement - Storage,-0.066,1.033,18.5,65.4,474.0,35.9,1
117,2024-03-06 00:00:00,SENSOR-017,Lobby - Entrance,0.454,2.062,21.5,50.9,420.0,38.8,1
118,2024-03-06 00:00:00,SENSOR-018,Lobby - Reception,0.548,1.023,,43.6,543.0,59.9,1
119,2024-03-06 00:00:00,SENSOR-019,Carpark - B1,-1.012,1.962,20.6,54.8,506.0,44.3,0
120,2024-03-06 00:00:00,SENSOR-020,Carpark - B2,-1.899,1.919,20.5,45.7,499.0,40.1,1
121,2024-03-07 00:00:00,SENSOR-001,Floor 1 - Zone A,1.037,1.027,19.6,59.3,,43.4,1
122,2024-03-07 00:00:00,SENSOR-002,Floor 1 - Zone B,0.944,2.106,20.9,57.9,385.0,30.0,1
123,2024-03-07 00:00:00,SENSOR-003,Floor 1 - Zone C,1.078,2.969,24.1,72.3,,40.7,1
124,2024-03-07 00:00:00,SENSOR-004,Floor 2 - Zone A,2.001,0.972,23.7,52.5,513.0,45.9,1
125,2024-03-07 00:00:00,SENSOR-005,Floor 2 - Zone B,2.101,2.07,23.8,62.9,519.0,44.2,1
126,2024-03-07 00:00:00,SENSOR-006,Floor 2 - Zone C,2.001,3.0,22.3,61.0,498.0,42.0,1
127,2024-03-07 00:00:00,SENSOR-007,Floor 3 - Zone A,2.927,1.052,23.3,64.7,547.0,51.5,1
128,2024-03-07 00:00:00,SENSOR-008,Floor 3 - Zone B,3.022,2.021,24.9,59.2,264.0,40.1,0
129,2024-03-07 00:00:00,SENSOR-009,Floor 3 - Zone C,3.042,3.019,24.5,60.5,264.0,47.8,1
130,2024-03-07 00:00:00,SENSOR-010,Floor 4 - Zone A,3.992,0.953,20.8,44.9,550.0,55.7,1
131,2024-03-07 00:00:00,SENSOR-011,Floor 4 - Zone B,4.049,2.016,22.8,54.0,534.0,53.3,1
132,2024-03-07 00:00:00,SENSOR-012,Floor 4 - Zone C,3.962,3.014,22.2,61.3,558.0,33.1,0
133,2024-03-07 00:00:00,SENSOR-013,Rooftop - North,4.978,1.53,24.8,63.8,488.0,38.2,0
134,2024-03-07 00:00:00,SENSOR-014,Rooftop - South,4.974,2.479,25.4,62.1,455.0,23.9,1
135,2024-03-07 00:00:00,SENSOR-015,Basement - Main,0.034,2.056,,65.9,460.0,36.6,1
136,2024-03-07 00:00:00,SENSOR-016,Basement - Storage,0.032,1.001,18.1,67.8,435.0,22.5,0
137,2024-03-07 00:00:00,SENSOR-017,Lobby - Entrance,0.429,1.956,21.8,45.1,486.0,52.7,1
138,2024-03-07 00:00:00,SENSOR-018,Lobby - Reception,0.556,0.942,23.2,48.3,490.0,58.5,1
139,2024-03-07 00:00:00,SENSOR-019,Carpark - B1,-1.026,1.943,18.1,46.6,485.0,48.1,1
140,2024-03-07 00:00:00,SENSOR-020,Carpark - B2,-2.058,1.889,19.8,47.9,469.0,55.1,1
141,2024-03-08 00:00:00,SENSOR-001,Floor 1 - Zone A,0.994,0.991,24.5,60.3,337.0,47.8,1
142,2024-03-08 00:00:00,SENSOR-002,Floor 1 - Zone B,0.991,1.991,21.4,66.2,525.0,40.0,1
143,2024-03-08 00:00:00,SENSOR-003,Floor 1 - Zone C,1.004,3.033,22.4,63.8,365.0,42.0,1
144,2024-03-08 00:00:00,SENSOR-004,Floor 2 - Zone A,1.986,0.99,22.3,64.4,464.0,51.0,1
145,2024-03-08 00:00:00,SENSOR-005,Floor 2 - Zone B,1.94,2.011,21.9,54.0,525.0,37.3,0
146,2024-03-08 00:00:00,SENSOR-006,Floor 2 - Zone C,1.982,3.015,21.7,46.6,432.0,45.7,0
147,2024-03-08 00:00:00,SENSOR-007,Floor 3 - Zone A,3.013,1.029,,64.0,,39.3,1
148,2024-03-08 00:00:00,SENSOR-008,Floor 3 - Zone B,3.063,2.017,22.3,62.0,412.0,42.5,1
149,2024-03-08 00:00:00,SENSOR-009,Floor 3 - Zone C,3.016,3.022,24.1,54.2,441.0,55.2,1
150,2024-03-08 00:00:00,SENSOR-010,Floor 4 - Zone A,4.035,0.978,22.0,59.8,426.0,41.5,1
151,2024-03-08 00:00:00,SENSOR-011,Floor 4 - Zone B,3.964,1.958,20.1,55.5,565.0,36.0,1
152,2024-03-08 00:00:00,SENSOR-012,Floor 4 - Zone C,3.931,3.015,21.7,50.2,,42.1,0
153,2024-03-08 00:00:00,SENSOR-013,Rooftop - North,4.907,1.52,25.4,56.4,306.0,41.7,0
154,2024-03-08 00:00:00,SENSOR-014,Rooftop - South,4.967,2.497,24.8,56.2,494.0,39.3,1
155,2024-03-08 00:00:00,SENSOR-015,Basement - Main,0.037,2.012,19.2,48.3,448.0,25.9,1
156,2024-03-08 00:00:00,SENSOR-016,Basement - Storage,0.06,1.005,20.1,46.8,495.0,32.8,1
157,2024-03-08 00:00:00,SENSOR-017,Lobby - Entrance,0.477,1.938,21.8,57.6,514.0,50.3,0
158,2024-03-08 00:00:00,SENSOR-018,Lobby - Reception,0.513,1.019,23.2,58.0,577.0,24.4,1
159,2024-03-08 00:00:00,SENSOR-019,Carpark - B1,-0.958,2.075,17.9,52.2,492.0,54.7,1
160,2024-03-08 00:00:00,SENSOR-020,Carpark - B2,-2.027,2.046,22.1,44.8,331.0,34.5,0
161,2024-03-09 00:00:00,SENSOR-001,Floor 1 - Zone A,0.983,1.066,21.6,55.8,327.0,37.3,1
162,2024-03-09 00:00:00,SENSOR-002,Floor 1 - Zone B,1.001,1.985,22.5,46.8,529.0,45.7,1
163,2024-03-09 00:00:00,SENSOR-003,Floor 1 - Zone C,1.016,2.988,20.9,33.5,488.0,55.8,0
164,2024-03-09 00:00:00,SENSOR-004,Floor 2 - Zone A,2.038,1.026,22.8,54.2,474.0,40.1,1
165,2024-03-09 00:00:00,SENSOR-005,Floor 2 - Zone B,2.046,2.028,21.6,50.2,541.0,39.0,0
166,2024-03-09 00:00:00,SENSOR-006,Floor 2 - Zone C,2.041,3.02,20.3,60.2,338.0,24.7,1
167,2024-03-09 00:00:00,SENSOR-007,Floor 3 - Zone A,3.026,1.048,22.5,58.7,317.0,47.2,1
168,2024-03-09 00:00:00,SENSOR-008,Floor 3 - Zone B,3.02,1.983,22.5,62.0,556.0,21.3,0
169,2024-03-09 00:00:00,SENSOR-009,Floor 3 - Zone C,2.96,3.092,22.6,61.8,477.0,38.4,0
170,2024-03-09 00:00:00,SENSOR-010,Floor 4 - Zone A,3.92,0.945,22.3,51.2,497.0,30.9,1
171,2024-03-09 00:00:00,SENSOR-011,Floor 4 - Zone B,4.049,2.005,22.9,46.5,318.0,49.5,0
172,2024-03-09 00:00:00,SENSOR-012,Floor 4 - Zone C,3.996,2.95,24.1,49.1,491.0,51.2,1
173,2024-03-09 00:00:00,SENSOR-013,Rooftop - North,4.975,1.487,24.9,56.8,423.0,28.5,0
174,2024-03-09 00:00:00,SENSOR-014,Rooftop - South,5.034,2.49,24.1,57.1,447.0,50.5,1
175,2024-03-09 00:00:00,SENSOR-015,Basement - Main,-0.021,2.102,19.0,54.1,576.0,32.6,0
176,2024-03-09 00:00:00,SENSOR-016,Basement - Storage,-0.005,0.98,20.2,53.3,670.0,16.2,0
177,2024-03-09 00:00:00,SENSOR-017,Lobby - Entrance,0.424,2.021,22.7,49.4,444.0,36.6,1
178,2024-03-09 00:00:00,SENSOR-018,Lobby - Reception,0.562,1.035,21.5,51.2,488.0,42.8,1
179,2024-03-09 00:00:00,SENSOR-019,Carpark - B1,-1.052,2.015,,55.3,376.0,34.2,1
180,2024-03-09 00:00:00,SENSOR-020,Carpark - B2,-1.964,1.937,19.9,58.2,523.0,34.8,0
181,2024-03-10 00:00:00,SENSOR-001,Floor 1 - Zone A,1.025,1.098,22.5,62.9,445.0,40.5,1
182,2024-03-10 00:00:00,SENSOR-002,Floor 1 - Zone B,1.017,1.971,21.1,47.4,500.0,42.6,1
183,2024-03-10 00:00:00,SENSOR-003,Floor 1 - Zone C,0.977,2.998,22.1,35.2,333.0,60.0,1
184,2024-03-10 00:00:00,SENSOR-004,Floor 2 - Zone A,1.986,0.958,23.0,44.9,559.0,52.2,1
185,2024-03-10 00:00:00,SENSOR-005,Floor 2 - Zone B,1.987,1.984,,45.1,445.0,46.4,1
186,2024-03-10 00:00:00,SENSOR-006,Floor 2 - Zone C,1.982,2.946,20.8,64.0,471.0,27.2,1
187,2024-03-10 00:00:00,SENSOR-007,Floor 3 - Zone A,3.031,0.994,20.2,44.8,467.0,35.9,0
188,2024-03-10 00:00:00,SENSOR-008,Floor 3 - Zone B,2.926,1.996,22.3,64.1,444.0,58.9,1
189,2024-03-10 00:00:00,SENSOR-009,Floor 3 - Zone C,2.985,3.024,21.6,55.4,419.0,28.3,0
190,2024-03-10 00:00:00,SENSOR-010,Floor 4 - Zone A,4.001,1.015,22.1,51.6,528.0,43.7,0
191,2024-03-10 00:00:00,SENSOR-011,Floor 4 - Zone B,3.975,1.945,20.6,60.4,,70.5,0
192,2024-03-10 00:00:00,SENSOR-012,Floor 4 - Zone C,4.008,3.066,20.8,64.5,458.0,64.8,1
193,2024-03-10 00:00:00,SENSOR-013,Rooftop - North,4.961,1.522,25.6,63.9,387.0,35.3,0
194,2024-03-10 00:00:00,SENSOR-014,Rooftop - South,5.013,2.52,23.9,60.4,654.0,43.3,1
195,2024-03-10 00:00:00,SENSOR-015,Basement - Main,0.051,1.906,20.9,51.6,478.0,35.1,1
196,2024-03-10 00:00:00,SENSOR-016,Basement - Storage,-0.023,0.951,21.1,47.3,418.0,46.6,1
197,2024-03-10 00:00:00,SENSOR-017,Lobby - Entrance,0.499,1.975,,55.5,554.0,40.7,1
198,2024-03-10 00:00:00,SENSOR-018,Lobby - Reception,0.559,1.042,22.6,58.9,514.0,42.2,1
199,2024-03-10 00:00:00,SENSOR-019,Carpark - B1,-0.934,2.063,19.0,49.2,482.0,38.8,1
200,2024-03-10 00:00:00,SENSOR-020,Carpark - B2,-1.937,2.006,18.9,48.9,595.0,38.6,1
201,2024-03-11 00:00:00,SENSOR-001,Floor 1 - Zone A,0.952,1.046,22.2,60.7,415.0,18.8,0
202,2024-03-11 00:00:00,SENSOR-002,Floor 1 - Zone B,1.032,2.001,20.9,44.0,402.0,37.2,1
203,2024-03-11 00:00:00,SENSOR-003,Floor 1 - Zone C,1.07,2.977,21.7,66.1,418.0,66.1,1
204,2024-03-11 00:00:00,SENSOR-004,Floor 2 - Zone A,2.024,0.952,22.7,62.9,493.0,47.4,1
205,2024-03-11 00:00:00,SENSOR-005,Floor 2 - Zone B,1.985,2.007,21.7,48.6,478.0,28.1,1
206,2024-03-11 00:00:00,SENSOR-006,Floor 2 - Zone C,2.035,2.994,22.7,53.2,502.0,44.2,1
207,2024-03-11 00:00:00,SENSOR-007,Floor 3 - Zone A,2.95,0.968,18.4,44.6,,34.9,1
208,2024-03-11 00:00:00,SENSOR-008,Floor 3 - Zone B,3.069,2.02,23.1,55.2,479.0,43.0,0
209,2024-03-11 00:00:00,SENSOR-009,Floor 3 - Zone C,3.099,3.063,20.9,60.6,487.0,51.6,1
210,2024-03-11 00:00:00,SENSOR-010,Floor 4 - Zone A,4.007,0.977,22.8,69.9,454.0,45.3,1
211,2024-03-11 00:00:00,SENSOR-011,Floor 4 - Zone B,4.01,1.983,21.2,37.9,377.0,56.8,1
212,2024-03-11 00:00:00,SENSOR-012,Floor 4 - Zone C,3.982,3.021,19.4,61.3,458.0,31.1,1
213,2024-03-11 00:00:00,SENSOR-013,Rooftop - North,5.031,1.412,25.0,36.1,403.0,43.9,1
214,2024-03-11 00:00:00,SENSOR-014,Rooftop - South,4.945,2.507,26.0,56.8,526.0,37.0,1
215,2024-03-11 00:00:00,SENSOR-015,Basement - Main,0.068,2.011,20.0,44.0,,48.1,1
216,2024-03-11 00:00:00,SENSOR-016,Basement - Storage,-0.062,0.968,21.0,60.6,349.0,18.6,1
217,2024-03-11 00:00:00,SENSOR-017,Lobby - Entrance,0.485,2.037,,58.1,476.0,28.0,0
218,2024-03-11 00:00:00,SENSOR-018,Lobby - Reception,0.457,0.938,21.6,53.6,386.0,19.3,1
219,2024-03-11 00:00:00,SENSOR-019,Carpark - B1,-1.006,2.093,22.4,44.1,500.0,41.7,1
220,2024-03-11 00:00:00,SENSOR-020,Carpark - B2,-1.947,1.935,,69.0,272.0,49.9,0
221,2024-03-12 00:00:00,SENSOR-001,Floor 1 - Zone A,1.037,0.918,22.6,51.5,414.0,43.8,1
222,2024-03-12 00:00:00,SENSOR-002,Floor 1 - Zone B,1.028,1.943,22.2,49.4,508.0,61.8,1
223,2024-03-12 00:00:00,SENSOR-003,Floor 1 - Zone C,0.969,3.014,20.7,63.5,358.0,48.9,0
224,2024-03-12 00:00:00,SENSOR-004,Floor 2 - Zone A,2.024,0.977,22.0,60.4,383.0,40.8,1
225,2024-03-12 00:00:00,SENSOR-005,Floor 2 - Zone B,2.047,2.026,21.7,71.6,352.0,44.5,0
226,2024-03-12 00:00:00,SENSOR-006,Floor 2 - Zone C,1.968,3.006,20.7,45.8,281.0,40.8,1
227,2024-03-12 00:00:00,SENSOR-007,Floor 3 - Zone A,3.083,1.053,21.9,60.2,385.0,23.0,0
228,2024-03-12 00:00:00,SENSOR-008,Floor 3 - Zone B,2.978,1.971,22.8,71.1,396.0,30.4,1
229,2024-03-12 00:00:00,SENSOR-009,Floor 3 - Zone C,3.019,2.9,22.3,39.7,368.0,31.8,1
230,2024-03-12 00:00:00,SENSOR-010,Floor 4 - Zone A,4.089,0.969,22.1,51.4,418.0,45.2,1
231,2024-03-12 00:00:00,SENSOR-011,Floor 4 - Zone B,4.072,1.964,20.1,55.0,514.0,50.4,1
232,2024-03-12 00:00:00,SENSOR-012,Floor 4 - Zone C,3.942,2.936,23.8,63.5,445.0,36.4,0
233,2024-03-12 00:00:00,SENSOR-013,Rooftop - North,4.968,1.55,24.9,54.9,423.0,37.6,1
